Track Name,Artist,Album,Popularity,Duration (minutes)
"Aasa Kooda - From ""Think Indie""",Sai Abhyankkar,"Aasa Kooda (From ""Think Indie"")",77,3.591833333333333
Sandiyare,Shreya Ghoshal,Virumandi,0,3.1526666666666667
Munbe Vaa,A.R. Rahman,Silunu Oru Kadhal,0,5.949016666666667
Elangathu - Duet,Shreya Ghoshal,Pithamagan (Original Motion Picture Soundtrack),54,6.162883333333333
Onnavitta Yaarum Yenakilla - Version 1,D. Imman,Seemaraja (Original Motion Picture Soundtrack),58,4.634933333333334
Kadhal Anukkal,Vijay Prakash,Enthiran (Original Motion Picture Soundtrack),54,5.7450833333333335
Naani Koni,Harris Jayaraj,Maattrraan (Original Motion Picture Soundtrack),56,5.43555
Onnappola Oruthana,D. Imman,Vetrivel (Original Motion Picture Soundtrack),45,4.5953333333333335
Pona Usuru Vanthurichu,Haricharan,Thodari,0,4.5574666666666666
Kanna Kaattu Podhum,D. Imman,Rekka (Original Motion Picture Soundtrack),50,4.496183333333334
Anbae Peranbae,Sid Sriram,NGK (Original Motion Picture Soundtrack),65,4.488883333333333
Mailaanji,"Pradeep Kumar,Shreya Ghoshal",Namma Veettu Pillai (Original Motion Picture Soundtrack),0,4.051333333333333
"Thumbi Thullal (From ""Cobra"")",A.R. Rahman,"Thumbi Thullal (From ""Cobra"")",47,4.73215
Neethanae,A.R. Rahman,Mersal (Original Motion Picture Soundtrack),57,4.47425
Mannipaaya,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),61,6.938666666666666
Sollitaley Ava Kaadhala,D. Imman,Kumki (Original Motion Picture Soundtrack),55,4.561766666666666
Kalvare,A.R. Rahman,Raavanan (Original Motion Picture Soundtrack),49,4.2051
Mirutha Mirutha,D. Imman,Miruthan (Original Motion Picture Soundtrack),48,4.1248
Chakka Chakalathi,A.R. Rahman,Galatta Kalyaanam,39,4.4833
Sol Pechu,Yuvan Shankar Raja,Thillalangadi (Original Motion Picture Soundtrack),50,4.962883333333333
Ival Dhaana,Sagar,Veeram (Original Motion Picture Soundtrack),44,4.245566666666667
Ammadi Ammadi,D. Imman,Desingu Raja (Original Motion Picture Soundtrack),51,5.101333333333334
"Urugudhe Maragudhe (From ""Veyil"")",G. V. Prakash,Veyil (Original Motion Picture Soundtrack),60,5.934
